"Joan Silk";"Building Strong Bonds in Baboons: Patterns, Mechanisms, and Adaptive Outcomes     (#1)";"Sociality has evolved in many animal taxa, and presumably reflects a balance between the benefits of living in groups (such as lower risk of predation) and costs (higher rates of competition over resources).  Selection is expected to favor traits that enable individuals to increase the benefit/cost ratio. The formation of close social bonds among female baboons may be favored as a means of increasing b/c ratios. In some primate species, strong affiliative ties are linked to coalitionary success and the ability to acquire high ranking positions in the dominance hierarchy.  Data from two different long-term studies of baboons show that females form strong, equitable, supportive, tolerant, and stable social relationships with selected partners, particularly close maternal kin and peers. Close social bonds help female baboons to cope with various sources of stress. In addition, females with close social bonds have higher survival among their offspring and live longer than other females.  These findings suggest that close social bonds may provide a means for females to increase the b/c ratio of group life. However, to form these bonds, females must overcome barriers that keep them apart---the risk of conflict. Work on baboons suggests that they use grunts to communicate peaceful intentions. Grunts facilitate proximity and affiliation, reconcile aggressive conflicts, and relieve anxiety. Thus, these signals may provide an important link between the benefits of social bonds and the risks inherent in interacting with potential competitors.   ";"School of Human Evolution and Social Change, Arizona State University, Tempe"
"Selene SSC Nogueira";"Vocal signature and social dominance hierarchy in white lipped peccary (tayassu pecari)     (#2)";"The white-lipped-peccary is a Neotropical mammal that\nlives in huge herds organized by linear hierarchy. The grunt call is one of the\nmost frequent vocalizations in their vocal repertoire, and may play a role in the\nspecies’ social structure organization. We investigated the presence of vocal\nsignature in grunt calls and its relationship with dominance ranking of 19 captive\npeccaries (9 males and 10 females). We collected 4,021 grunt calls and selected\n1,849 with the best quality and least noise interference. From these we randomly\nchose 50 calls from each individual for DFA analysis. The acoustic parameters\nused were harmonic-to-noise ratio or HNR (dB), frequency interval (Hz), maximum\nfrequency, dominant frequency (Hz) and element duration (s). The dominant male was\nthe only animal that did not emit grunt calls. Considering all five\nacoustic parameters we could discriminate among the grunt calls of the 18\nanimals (Wilks Lambda = 0.55, P < 0.0001, N=900; cross validation:\n19%, p< 0.05). The correct attribution to individuals' calls varied\nas a function of their dominance status (rs = -0.48, N=18, P < 0.05). We also observed that the\nmore subordinate the individuals are, the more grunt calls they emit (rs= 0.54; n=19, P=0.008). The duration and HNH parameters provide\ndifferences between males’ and females’ grunt calls (F(2,15)= 3.21, P<0.05).\nOur study revealed that grunt calls provide information on animal identity, social\nstatus and sex, which is adaptive to maintain the cohesion of white-lipped\npeccaries that are used to living in herds comprising more than 100 individuals.";"Universidade Estadual de Santa Cruz, Ilheus, BAHIA, Brazil"
"Ines Braga Goncalves";"Socially induced flexibility in vocal production in wild meerkats      (#3)";"Although a growing body of data suggests animals\npossess some control over the production of their calls, the acoustic structure\nof vocalisations of terrestrial mammals is largely considered to be innate and inflexible.\nKalahari meerkats (Suricata\nsuricatta) are highly social, cooperative breeding mammals that live in\ngroups composed of a dominant pair, subordinate helpers and dependent young. While\nthe breeding female is dominant above all other individuals, subordinate\nfemales also seem to establish dominance relationships amongst each other, with\nolder and heavier individuals being higher-ranked. However, agonistic events\nbetween subordinates are rare and more subtle mechanisms seem to be used in the\nmaintenance of these hierarchies. Meerkats have a rich vocal repertoire, which\nthey use to coordinate spatial organisation and mediate social interactions.\nAll group members frequently produce close calls during foraging, thought to\nplay a key role in maintaining group cohesion as well as in spacing\nindividuals, presumably minimizing food competition. Close calls are individual-specific,\nbut the degree of individual flexibility in call production remains unclear. Given\ntheir importance in mediating interactions during foraging, we predicted that\nclose call structure might reflect the transient nature of encounters between\nsubordinate females of different ranks. Here we show that both call rate and temporal\nparameters of calls produced by subordinate females change flexibly, reflecting\n1) the distance to the nearest adult female, 2) the relative rank of the\nproducer, and 3) the relative rank of its female neighbour. Furthermore,\nyounger, lower ranked females, show a greater degree of vocal adjustment in\nresponse to their nearest female neighbour. Our findings show an undocumented\ndegree of individual flexibility in call production, and suggest a mechanism\nthrough which dominance hierarchies among subordinates may be subtly maintained\nin mammalian societies.  ";"Institute for Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland"
"Kelly Jaakkola";"Hey Baby: Signature Whistle Use Facilitates Calf Retrieval in a Female Bottlenose Dolphin, Tursiops truncatus     (#4)";"Bottlenose\ndolphins use vocal learning to develop individually distinctive signature\nwhistles that allow for individual recognition. An important function of\nsignature whistles is to allow mothers and calves to keep in acoustic contact\nand to find each other after a separation. Previous studies have shown that when\nwild mothers and calves are caught and temporarily separated, each makes its\nown signature whistle repeatedly, but occasionally copies the other's whistle\nas well (King et al., 2013; Sayigh et al., 1990). When yearling calves\nvoluntarily separate from their mothers in the wild, they repeatedly produce\ntheir own signature whistle prior to a reunion (Smolker et al., 1993). However,\nthere has been very little research on the vocal mechanisms a female dolphin may\nemploy when she wants to reunite with her calf. In this study, we\nrepeatedly asked an adult female dolphin to Go get (i.e., retrieve) her\n3-month-old calf or Go get another object, while we recorded her vocal\nbehaviour.  The vocal response to the two\ntrial types was significantly different (GLM, P = 0.0003). The adult female frequently\nproduced her own signature whistle when asked to retrieve her calf, but rarely\nproduced any such whistle when asked to retrieve an object. She also produced\nsignificantly more signature whistles when it took her longer to retrieve her\ncalf (GLM, P = 0.0009). There was no evidence of\nthe calf's signature whistle during either trial type. Our results therefore add\nto our current understanding of signature whistles by showing that they not\nonly function in broadcasting identity, but are used by mothers to actively\ninitiate reunions with their calves, thus highlighting the importance of\nmaternal signature\nwhistle use in facilitating mother-calf reunions.";"Dolphin Research Center, Grassy Key, FL, United States"
"Alban Lemasson";"Stallion’s voice: an indicator of fertility and a basis for female choice?     (#5)";", "Rennes 1 University, Paimpont, FRANCE, France"
"Maxime Garcia";"Structural classification of Wild Boar (Sus scrofa) vocalizations     (#6)";"A key step in understanding the vocal communication system of a species involves defining its vocal repertoire. Research on domestic pig vocalizations, for example, has led to significant advances in our understanding of communicative function. Despite the close relation to domestic pigs, very little is known about wild boar (Sus scrofa) vocalizations. The few existing studies on this social species, conducted in the 1970âs, relied on visual inspections of spectrograms to quantify acoustic parameters and lacked statistical analysis. Here, we use objective signal processing techniques and advanced statistical approaches to classify 617 calls recorded from semi-free ranging animals. Based on four spectral and temporal acoustic parameters âquartile Q25, spectral flux, spectral flatness and durationâ extracted from a multivariate analysis, we refine and extend the conclusions drawn from previous work and present a statistically validated classification of the wild boar vocal repertoire into four call types: grunts, grunt-squeals, squeals and trumpets. While the majority of calls could be sorted into these categories using objective criteria, we also found evidence supporting a graded interpretation of wild boar vocal communication as acoustically continuous, with the extremes representing discrete call types. Integrating our findings with recent studies on domestic pig vocal behaviour and emotions, we highlight the potential importance of grunt-squeals for acoustic approaches to animal welfare. Our work also establishes a solid foundation and comparative basis for further research investigating both call functionality and the evolutionary origins of vocal production and perception within the genus Sus.";"Department of Cognitive Biology, University of Vienna, Vienna, VIENNA, Austria"
"Julie M Kern";"Anthropogenic noise disrupts response to anti-predator signals in a cooperatively breeding mammal.     (#7)";"Anthropogenic noise can elevate stress,\ndistract individuals and mask auditory signals, with compelling evidence that\nit can strongly affect vocal communication. However, most studies have focused\non bird song, with little work considering the impact on other vocalisations or\nwhether effects differ depending on caller identity. We conducted a series of\nplayback experiments on the cooperatively breeding dwarf mongoose (Helogale parvula)to investigate: (i) how traffic noise affects receiver responses to two\ncontrasting anti-predator vocalisations (alarm calls and the Watchman’s song); (ii)\nwhether noise-related effects differ depending on caller class (dominant versus\nsubordinate); and (iii) the importance of \nmasking as the underlying mechanism for the demonstrated effects.\nTraffic noise playback did not affect the immediate response to alarm calls of either\ndominant or subordinate callers, but receivers were consistently slower to\nresume foraging. Foragers exposed to playback of the Watchman’s song (low\namplitude calls given by sentinels on guard duty) in traffic noise were more\nvigilant than during ambient noise. However, the pattern of lower vigilance in\nthe presence of a dominant sentinel compared to a subordinate was retained\nduring traffic noise playback, indicating that cues to caller identity were\nstill available. Moreover, an additional experiment found that exposure to playback\nof traffic noise alone (with no mongoose vocalisations\nthat could be masked) caused foragers to increase vigilance. Our results\ndemonstrate that anthropogenic noise can impact responses to key anti-predator\nvocalisations and that disruption of vocal communication may not be explained solely\nby masking. We suggest that future studies explore potential effects on a range\nof vocalisations and the mechanistic explanations behind behavioural changes\nassociated with anthropogenic noise.";"University of Bristol, Bristol, AVON, United Kingdom"
"James F Hare";"Richardson's ground squirrel (Urocitellus richardsonii) alarm calls communicate response urgency and are referential     (#8)";"Alarm vocalizations of ground-dwelling squirrels\nhave been argued to communicate response-urgency rather than referential\ninformation in that optimal escape strategies don't differ by predator type. A\nnotable exception exists, however, for Gunnison's prairie dogs, where\nfield-based experiments reveal fine-grained productional and perceptual specificity.\nWe tested whether an exception also exists for Richardson's ground squirrels (Urocitellus richardsonii), which produce\nsituationally-specific chirps in response to avian predators, and repeated\nwhistles to threats on the ground. While repeated whistles modulate information\nregarding response urgency via variation in syllable repetition rate, the\nsituational-specificity of chirp versus whistle production begs the question of\nwhether receivers alter their response according to call type. We tested for\nperceptual differences by exposing 34free-living\nRichardson's ground squirrels to playbacks of both chirps and whistles. Chirp\nplaybacks elicited a higher frequency of running, more pronounced postural\nchange, and a greater proportion of time devoted to vigilance than whistle\nplaybacks. Differential behaviour as result of disparate signals alone provides\nevidence that Gunnison's prairie dogs don't constitute a singular exception\namong ground squirrels in having evolved referential alarm communication. For\nRichardson's ground squirrels, referential and response-urgency communication\nexist simultaneously.";"The University of Manitoba, Winnipeg, MANITOBA, Canada"
"Reece D Pedler";"Tracking reveals extreme nomadic flights by desert waterbirds seeking shrimp bonanza     (#58)";"In contrast to well-studied migratory\nspecies in temperate and predictable environments, birds in desert biomes face\nmajor challenges in exploiting stochastic, rich, yet short-lived resource\npulses in vast arid landscapes.  Without\nregular seasonal cues used by migrants to prepare for spatially and temporally\npredictable annual movements, these species must somehow detect unpredictable\nresource pulses from afar and move there to take advantage, then successfully\ntime their retreat to stable refuge areas. \nUnderstanding of these complex, high-risk behaviours is limited, due to\nits unpredictable occurrence in the world’s remotest deserts. Using recent\nadvances in satellite telemetry, we investigated movements by Banded Stilt (Cladorhyncus leucocephalus); a nomadic\ndesert shorebird that breeds opportunistically in huge colonies on remote\ninland salt lakes after rare rain events trigger mass hatching of brine shrimp.\nSolar-powered 5 g Argos satellite tags deployed on 56 individuals revealed\nextensive, rapid and synchronised movements between inland salt lake breeding\nsites and coastal dry-time refuges. \nBanded Stilts rapidly detected and moved towards inland wetlands following\nflooding, with birds flying 300-700 km overnight and undertaking exploratory\njourneys totaling thousands of kilometres.  Tagged individuals in different flocks showed\ncommon responses to distant cues; in one example two birds longitudinally\ncrossed the continent, departing and arriving at the same points, yet\ntravelling independently; one bird flying >2200 km in <2.5 days and the\nother >1500 km in 6 days. Individuals demonstrated rapid retreats to\npreviously visited stable refuge sites, demonstrating use of stored individual or\nflock knowledge to successfully exploit unpredictable cycles.";"Centre for Integrative Ecology, Deakin University, Geelong, Waurn Ponds, Victoria , Australia"
"Graeme C Hays";"From jellyfish to giant turtles: impacts of ocean currents     (#59)";"We have satellite tracked a broad range of animals ranging from jellyfish to sea turtles and at spatial scales of movement from 10s of meters to 1000s of kilometers. In all these cases animals have to contend with cross-flows which may deflect them off course, analogous the wind impacts on birds and insects. By simultaneously assessing ocean currents, we show how tracked animals are impacted by ocean flows and assess their ability to compensate for lateral displacements. We show how theoretical considerations, such as Zermelo’s route finding in cross flows, can provide a broad umbrella under which to compare orientation responses for currents and winds across a wide range of swimmers and flyers, while Lagrangian wind and current models allow the implications of different behavioral route finding options to be explored.";"Deakin University, Warrnambool, VIC, Australia"
